n,mean,std,skew,kurt_excess,jb_p,anderson_stat,ks_p_fitted_normal,max_abs_z,q01,q99,t_df,AIC_normal,AIC_t,better_fit,note,symbol
10949,3.618282162422899e-05,0.5725045791397294,-0.0022150708638940483,-0.5502102090272163,1.0189890163709451e-30,10.45820522566828,9.55970607802504e-05,2.887776578640543,-1.223787250645729,1.2096693860695684,747294112187.561,18861.644931732197,18863.64488606729,normal,,COMP_0
10949,-8.198197446901883e-06,0.42014053660374,0.0072406092523320705,-0.244304066977314,1.1657887483129566e-06,0.917154103235589,0.6017998065253108,3.0749788780852074,-0.9453680415315422,0.9687924196722748,15354590641.417107,12085.714653670157,12087.714608103875,normal,,COMP_1
10949,-3.2376915976514353e-05,0.450545243929907,0.0385147664241994,-0.015943492832703576,0.24378949179359713,1.0546521463547833,0.21808659644650852,3.8718837049815877,-1.0286357045518197,1.0519448953845747,7531853827.848595,13615.71118828114,13617.711142626913,normal,,COMP_2
10949,1.6856333450607826e-05,0.41374854677698264,-0.0023559629817307337,-0.4375453100452429,1.0772863484272542e-19,4.99641958272332,0.02853093219704317,3.1734597216055818,-0.9013245135100836,0.9061719434491347,572716120.1165528,11749.99965864655,11751.999617415027,normal,,COMP_3
10949,-9.623892553675392e-05,0.5168642768125301,-0.03299306730092175,-0.35829314215463404,7.101799762279017e-14,2.934528943258556,0.16146677903707407,3.0548873113493618,-1.154621811468013,1.1390696526185973,3342602173.3579655,16622.784334525455,16624.784289587376,normal,,COMP_4
10949,-5.095359703763797e-05,0.6927827527710845,-0.006488338416145714,0.4102093070915789,2.0586796559856342e-17,9.724599308639881,0.0011170692877332069,3.6591417970147604,-1.7467657065737823,1.7787905934922041,12.45375837507342,23037.49998531535,22956.673843304903,t,,COMP_5
10949,6.377741953515374e-06,0.32854374335325365,0.012669032555440473,-0.3347222683506299,6.8758289465613165e-12,3.924570336006582,0.051283420667399215,3.2132524785987506,-0.7249149043167724,0.7339812087351028,5166114067.207752,6700.574340872716,6702.574295612468,normal,,COMP_6
10949,-5.736628110007468e-06,0.31890024556140045,0.011405458101014714,-0.02393191931717542,0.7793189478717071,0.2776137115943129,0.7400142501201852,3.648710138834041,-0.7474514328801688,0.7490665352773906,245609210.77865723,6048.196878729397,6050.1968336721275,normal,,COMP_7
10949,0.00010387450591100421,0.7414658032609995,0.015687418768735254,-0.4641785873772575,3.613241642444966e-22,18.024645348501508,2.976023108359384e-06,2.7745260394842015,-1.5692995268766834,1.5750090921114765,33002749663.68817,24524.6496667714,24526.649621193174,normal,,COMP_8
10949,-1.888189126202729e-05,0.5377879687505077,0.009340083271088186,-0.4059504285619808,4.365586828312634e-17,4.4483884614728595,0.08975899713551039,3.0466917943518568,-1.1748468064329263,1.1765371660746309,561161080427.6846,17491.785726662383,17493.78568099792,normal,,COMP_9
10949,-6.838891928680783e-05,0.5809626149024574,-0.008311253618040894,-0.3511365939197302,5.731864682461586e-13,3.2390119893498195,0.05865223445803347,3.18492864523019,-1.3139781155718697,1.3051875214830344,361353693351.3473,19182.79387773065,19184.79383206698,normal,,EXT_0
10949,5.711730660807583e-05,0.4130987004725937,0.010530120563141822,-0.10549351690347386,0.07138151924832543,0.5152915029248106,0.5214925678605395,3.402932806083095,-0.9582376553031161,0.9475729482115195,3977940016.8206205,11715.578942242497,11717.578896737417,normal,,EXT_1
10949,-7.595566514152761e-06,0.7508037721281197,0.014602613341517238,-0.07120210843746211,0.2589839358269589,0.7383509428182151,0.6675964204235962,3.6067172225624233,-1.7072845834941652,1.755505808347939,171519809717.63446,24798.709413979446,24800.70936831298,normal,,EXT_2
