symbol,series,method,rank,period_ticks,frequency,power
COMP_0,returns,periodogram,1,5.004113345521024,0.19983560142478765,0.00020109943990635472
COMP_0,returns,periodogram,2,5.15732454074423,0.19389898620878618,0.00018060107494998425
COMP_0,returns,periodogram,3,5.0247820100963745,0.1990136085487259,0.00017901590892328888
COMP_0,returns,periodogram,4,5.145206766917293,0.19435564891770937,0.00015666309394255472
COMP_0,returns,periodogram,5,5.078385899814472,0.19691296008767922,0.00015505228629263996
COMP_0,abs_returns,periodogram,1,5.154896421845574,0.19399031875057082,0.00018468031718071182
COMP_0,abs_returns,periodogram,2,11.138351983723297,0.08977988857429901,0.00017229087073665703
COMP_0,abs_returns,periodogram,3,9.899638336347197,0.10101379121380948,0.0001673604368230101
COMP_0,abs_returns,periodogram,4,22.81041666666667,0.04383962005662617,0.00016330513800451657
COMP_0,abs_returns,periodogram,5,25.462790697674418,0.03927299296739428,0.00014560805779992566
COMP_0,returns,acf_peaks,1,294.0,0.003401360544217687,0.03653300917143048
COMP_0,returns,acf_peaks,2,581.0,0.0017211703958691911,0.03381821135171442
COMP_0,returns,acf_peaks,3,97.0,0.010309278350515464,0.03240576389458575
COMP_0,returns,acf_peaks,4,83.0,0.012048192771084338,0.030993072549473442
COMP_0,returns,acf_peaks,5,1542.0,0.0006485084306095979,0.030960794855580596
COMP_0,abs_returns,acf_peaks,1,1709.0,0.0005851375073142189,0.02822667608044662
COMP_0,abs_returns,acf_peaks,2,112.0,0.008928571428571428,0.02527936842471976
COMP_0,abs_returns,acf_peaks,3,98.0,0.01020408163265306,0.02466749695267268
COMP_0,abs_returns,acf_peaks,4,1376.0,0.0007267441860465116,0.02433615331123906
COMP_0,abs_returns,acf_peaks,5,905.0,0.0011049723756906078,0.023942680556559015
COMP_1,returns,periodogram,1,5.3383715260848374,0.18732304320029225,0.00013591877517400358
COMP_1,returns,periodogram,2,5.269008662175168,0.18978902182847748,0.00012592674235975654
COMP_1,returns,periodogram,3,5.87392703862661,0.170243857886565,8.433869490433441e-05
COMP_1,returns,periodogram,4,5.896068928379107,0.1696045300940725,8.263469705307387e-05
COMP_1,returns,periodogram,5,5.145206766917293,0.19435564891770937,7.880500735533568e-05
COMP_1,abs_returns,periodogram,1,28.889182058047496,0.03461503333637775,0.00010461102944426566
COMP_1,abs_returns,periodogram,2,15.464689265536723,0.06466343958352361,9.146535289069803e-05
COMP_1,abs_returns,periodogram,3,267.0487804878049,0.0037446342131701523,9.028399794619629e-05
COMP_1,abs_returns,periodogram,4,7.28476380572189,0.1372728103023107,9.018290799574371e-05
COMP_1,abs_returns,periodogram,5,16.975193798449613,0.058909489451091424,8.908265866294942e-05
COMP_1,returns,acf_peaks,1,1911.0,0.0005232862375719519,0.03464395072205711
COMP_1,returns,acf_peaks,2,612.0,0.0016339869281045752,0.03440557680649462
COMP_1,returns,acf_peaks,3,1522.0,0.000657030223390276,0.03341365551561799
COMP_1,returns,acf_peaks,4,225.0,0.0044444444444444444,0.033109729259304145
COMP_1,returns,acf_peaks,5,319.0,0.003134796238244514,0.03283588907728896
COMP_1,abs_returns,acf_peaks,1,407.0,0.002457002457002457,0.02761229362479255
COMP_1,abs_returns,acf_peaks,2,1901.0,0.0005260389268805891,0.027344905959583648
COMP_1,abs_returns,acf_peaks,3,635.0,0.0015748031496062992,0.027301964463746727
COMP_1,abs_returns,acf_peaks,4,791.0,0.0012642225031605564,0.02594768607490072
COMP_1,abs_returns,acf_peaks,5,1166.0,0.0008576329331046312,0.025156806757994785
COMP_2,returns,periodogram,1,6.1649774774774775,0.16220659420951686,0.00012202493145299097
COMP_2,returns,periodogram,2,5.8115711252653925,0.17207050872225774,0.00010864000099685019
COMP_2,returns,periodogram,3,5.880236305048335,0.1700611928029957,0.00010745949666879526
COMP_2,returns,periodogram,4,5.087825278810409,0.19654762992054067,0.00010698014915124669
COMP_2,returns,periodogram,5,6.213961407491487,0.16092793862453192,0.00010610587764659285
COMP_2,abs_returns,periodogram,1,9.872858431018935,0.1012877888391634,0.00022049172796334795
COMP_2,abs_returns,periodogram,2,23.906113537117907,0.04183030413736414,0.00014342414878310266
COMP_2,abs_returns,periodogram,3,101.37962962962963,0.00986391451274089,0.00012302580487917928
COMP_2,abs_returns,periodogram,4,8.607704402515724,0.11617499315005936,0.00010942356115717201
COMP_2,abs_returns,periodogram,5,31.46264367816092,0.03178372454105398,0.00010681607320679532
COMP_2,returns,acf_peaks,1,1478.0,0.0006765899864682003,0.03753754308940402
COMP_2,returns,acf_peaks,2,78.0,0.01282051282051282,0.03604214966770222
COMP_2,returns,acf_peaks,3,732.0,0.001366120218579235,0.0335710755673872
COMP_2,returns,acf_peaks,4,1785.0,0.0005602240896358543,0.032937625120156126
COMP_2,returns,acf_peaks,5,561.0,0.0017825311942959,0.03244757958947438
COMP_2,abs_returns,acf_peaks,1,929.0,0.001076426264800861,0.03448148511191173
COMP_2,abs_returns,acf_peaks,2,484.0,0.002066115702479339,0.0340297671968026
COMP_2,abs_returns,acf_peaks,3,800.0,0.00125,0.03163895147908253
COMP_2,abs_returns,acf_peaks,4,1359.0,0.0007358351729212656,0.028278925394566064
COMP_2,abs_returns,acf_peaks,5,1430.0,0.0006993006993006993,0.025926025508305563
COMP_3,returns,periodogram,1,5.354034229828851,0.18677504794958444,0.00010085594246905768
COMP_3,returns,periodogram,2,5.49372804816859,0.18202575577678326,9.730763675241017e-05
COMP_3,returns,periodogram,3,5.705575820739969,0.17526714768472007,9.617853220434048e-05
COMP_3,returns,periodogram,4,6.668087697929355,0.14996803361037536,9.391935720372194e-05
COMP_3,returns,periodogram,5,5.2113279390766305,0.19188967028952414,9.224202201321539e-05
COMP_3,abs_returns,periodogram,1,10.447519083969466,0.09571650379030049,9.722489046288124e-05
COMP_3,abs_returns,periodogram,2,51.16355140186916,0.019545163941912504,9.363003135990704e-05
COMP_3,abs_returns,periodogram,3,9.048760330578512,0.11051237555941182,8.665955845740255e-05
COMP_3,abs_returns,periodogram,4,14.219480519480518,0.07032605717417116,8.387932206367274e-05
COMP_3,abs_returns,periodogram,5,56.14871794871795,0.017809845648004384,8.095502206075422e-05
COMP_3,returns,acf_peaks,1,1924.0,0.0005197505197505198,0.03832712348457024
COMP_3,returns,acf_peaks,2,772.0,0.0012953367875647669,0.03787086437363033
COMP_3,returns,acf_peaks,3,396.0,0.0025252525252525255,0.03761900264476164
COMP_3,returns,acf_peaks,4,1686.0,0.0005931198102016608,0.03222792337707277
COMP_3,returns,acf_peaks,5,7.0,0.14285714285714285,0.03222175824620577
COMP_3,abs_returns,acf_peaks,1,258.0,0.003875968992248062,0.03450668216828794
COMP_3,abs_returns,acf_peaks,2,1460.0,0.0006849315068493151,0.02857965879011384
COMP_3,abs_returns,acf_peaks,3,1138.0,0.0008787346221441124,0.0283820209799061
COMP_3,abs_returns,acf_peaks,4,17.0,0.058823529411764705,0.026966407036820152
COMP_3,abs_returns,acf_peaks,5,1778.0,0.0005624296962879641,0.026628222971394184
COMP_4,returns,periodogram,1,5.433746898263028,0.1840350716960453,0.00019929249480113236
COMP_4,returns,periodogram,2,5.485470941883768,0.18229975340213717,0.00016549604930245784
COMP_4,returns,periodogram,3,5.171941426547001,0.19335099095807837,0.00014219497034431168
COMP_4,returns,periodogram,4,5.196487897484576,0.19243766554023198,0.0001368457683060099
COMP_4,returns,periodogram,5,5.790058170280275,0.1727098365147502,0.00013482949854730204
COMP_4,abs_returns,periodogram,1,29.353887399463808,0.03406703808566992,0.00021243376649535792
COMP_4,abs_returns,periodogram,2,16.614567526555387,0.06018814503607635,0.00021210056095779427
COMP_4,abs_returns,periodogram,3,9.93557168784029,0.10064846104667093,0.00019891878964309117
COMP_4,abs_returns,periodogram,4,29.11968085106383,0.034341035711023836,0.00014983346897417822
COMP_4,abs_returns,periodogram,5,273.725,0.0036533016713855143,0.00014845452124598524
COMP_4,returns,acf_peaks,1,94.0,0.010638297872340425,0.038663160987973705
COMP_4,returns,acf_peaks,2,1316.0,0.0007598784194528875,0.034709634731443506
COMP_4,returns,acf_peaks,3,825.0,0.0012121212121212121,0.03453403952757353
COMP_4,returns,acf_peaks,4,464.0,0.0021551724137931034,0.03397375889112653
COMP_4,returns,acf_peaks,5,1021.0,0.0009794319294809011,0.032988254615465194
COMP_4,abs_returns,acf_peaks,1,784.0,0.0012755102040816326,0.03495861521229139
COMP_4,abs_returns,acf_peaks,2,1112.0,0.0008992805755395684,0.03356484091825361
COMP_4,abs_returns,acf_peaks,3,238.0,0.004201680672268907,0.027893807761170827
